fips,county.name,state.name,state.fips,county.fips
01001,Autauga,Alabama,01,001
01003,Baldwin,Alabama,01,003
01005,Barbour,Alabama,01,005
01007,Bibb,Alabama,01,007
01009,Blount,Alabama,01,009
01011,Bullock,Alabama,01,011
01013,Butler,Alabama,01,013
01015,Calhoun,Alabama,01,015
01017,Chambers,Alabama,01,017
01019,Cherokee,Alabama,01,019
01021,Chilton,Alabama,01,021
01023,Choctaw,Alabama,01,023
01025,Clarke,Alabama,01,025
01027,Clay,Alabama,01,027
01029,Cleburne,Alabama,01,029
01031,Coffee,Alabama,01,031
01033,Colbert,Alabama,01,033
01035,Conecuh,Alabama,01,035
01037,Coosa,Alabama,01,037
01039,Covington,Alabama,01,039
01041,Crenshaw,Alabama,01,041
01043,Cullman,Alabama,01,043
01045,Dale,Alabama,01,045
01047,Dallas,Alabama,01,047
01049,Dekalb,Alabama,01,049
01051,Elmore,Alabama,01,051
01053,Escambia,Alabama,01,053
01055,Etowah,Alabama,01,055
01057,Fayette,Alabama,01,057
01059,Franklin,Alabama,01,059
01061,Geneva,Alabama,01,061
01063,Greene,Alabama,01,063
01065,Hale,Alabama,01,065
01067,Henry,Alabama,01,067
01069,Houston,Alabama,01,069
01071,Jackson,Alabama,01,071
01073,Jefferson,Alabama,01,073
01075,Lamar,Alabama,01,075
01077,Lauderdale,Alabama,01,077
01079,Lawrence,Alabama,01,079
01081,Lee,Alabama,01,081
01083,Limestone,Alabama,01,083
01085,Lowndes,Alabama,01,085
01087,Macon,Alabama,01,087
01089,Madison,Alabama,01,089
01091,Marengo,Alabama,01,091
01093,Marion,Alabama,01,093
01095,Marshall,Alabama,01,095
01097,Mobile,Alabama,01,097
01099,Monroe,Alabama,01,099
01101,Montgomery,Alabama,01,101
01103,Morgan,Alabama,01,103
01105,Perry,Alabama,01,105
01107,Pickens,Alabama,01,107
01109,Pike,Alabama,01,109
01111,Randolph,Alabama,01,111
01113,Russell,Alabama,01,113
01115,St. Clair,Alabama,01,115
01117,Shelby,Alabama,01,117
01119,Sumter,Alabama,01,119
01121,Talladega,Alabama,01,121
01123,Tallapoosa,Alabama,01,123
01125,Tuscaloosa,Alabama,01,125
01127,Walker,Alabama,01,127
01129,Washington,Alabama,01,129
01131,Wilcox,Alabama,01,131
01133,Winston,Alabama,01,133
02013,Aleutians East,Alaska,02,013
02016,Aleutians West Census Area,Alaska,02,016
02020,Anchorage,Alaska,02,020
02050,Bethel,Alaska,02,050
02060,Bristol Bay,Alaska,02,060
02068,Denali,Alaska,02,068
02070,Dillingham,Alaska,02,070
02090,Fairbanks North Star,Alaska,02,090
02100,Haines,Alaska,02,100
02105,Hoonah-Angoon,Alaska,02,105
02110,Juneau,Alaska,02,110
02122,Kenai Peninsula,Alaska,02,122
02130,Ketchikan Gateway,Alaska,02,130
02150,Kodiak Island,Alaska,02,150
02164,Lake and Peninsula,Alaska,02,164
02170,Matanuska-Susitna,Alaska,02,170
02180,Nome,Alaska,02,180
02185,North Slope,Alaska,02,185
02188,Northwest Arctic,Alaska,02,188
02195,Petersburg,Alaska,02,195
02198,Prince of Wales-Hyder,Alaska,02,198
02220,Sitka,Alaska,02,220
02230,Skagway,Alaska,02,230
02240,Southeast Fairbanks,Alaska,02,240
02261,Valdez-Cordova,Alaska,02,261
02270,Wade Hampton,Alaska,02,270
02275,Wrangell,Alaska,02,275
02282,Yakutat,Alaska,02,282
02290,Yukon-Koyukuk,Alaska,02,290
04001,Apache,Arizona,04,001
04003,Cochise,Arizona,04,003
04005,Coconino,Arizona,04,005
04007,Gila,Arizona,04,007
04009,Graham,Arizona,04,009
04011,Greenlee,Arizona,04,011
04012,La Paz,Arizona,04,012
04013,Maricopa,Arizona,04,013
04015,Mohave,Arizona,04,015
04017,Navajo,Arizona,04,017
04019,Pima,Arizona,04,019
04021,Pinal,Arizona,04,021
04023,Santa Cruz,Arizona,04,023
04025,Yavapai,Arizona,04,025
04027,Yuma,Arizona,04,027
05001,Arkansas,Arkansas,05,001
05003,Ashley,Arkansas,05,003
05005,Baxter,Arkansas,05,005
05007,Benton,Arkansas,05,007
05009,Boone,Arkansas,05,009
05011,Bradley,Arkansas,05,011
05013,Calhoun,Arkansas,05,013
05015,Carroll,Arkansas,05,015
05017,Chicot,Arkansas,05,017
05019,Clark,Arkansas,05,019
05021,Clay,Arkansas,05,021
05023,Cleburne,Arkansas,05,023
05025,Cleveland,Arkansas,05,025
05027,Columbia,Arkansas,05,027
05029,Conway,Arkansas,05,029
05031,Craighead,Arkansas,05,031
05033,Crawford,Arkansas,05,033
05035,Crittenden,Arkansas,05,035
05037,Cross,Arkansas,05,037
05039,Dallas,Arkansas,05,039
05041,Desha,Arkansas,05,041
05043,Drew,Arkansas,05,043
05045,Faulkner,Arkansas,05,045
05047,Franklin,Arkansas,05,047
05049,Fulton,Arkansas,05,049
05051,Garland,Arkansas,05,051
05053,Grant,Arkansas,05,053
05055,Greene,Arkansas,05,055
05057,Hempstead,Arkansas,05,057
05059,Hot Spring,Arkansas,05,059
05061,Howard,Arkansas,05,061
05063,Independence,Arkansas,05,063
05065,Izard,Arkansas,05,065
05067,Jackson,Arkansas,05,067
05069,Jefferson,Arkansas,05,069
05071,Johnson,Arkansas,05,071
05073,Lafayette,Arkansas,05,073
05075,Lawrence,Arkansas,05,075
05077,Lee,Arkansas,05,077
05079,Lincoln,Arkansas,05,079
05081,Little River,Arkansas,05,081
05083,Logan,Arkansas,05,083
05085,Lonoke,Arkansas,05,085
05087,Madison,Arkansas,05,087
05089,Marion,Arkansas,05,089
05091,Miller,Arkansas,05,091
05093,Mississippi,Arkansas,05,093
05095,Monroe,Arkansas,05,095
05097,Montgomery,Arkansas,05,097
05099,Nevada,Arkansas,05,099
05101,Newton,Arkansas,05,101
05103,Ouachita,Arkansas,05,103
05105,Perry,Arkansas,05,105
05107,Phillips,Arkansas,05,107
05109,Pike,Arkansas,05,109
05111,Poinsett,Arkansas,05,111
05113,Polk,Arkansas,05,113
05115,Pope,Arkansas,05,115
05117,Prairie,Arkansas,05,117
05119,Pulaski,Arkansas,05,119
05121,Randolph,Arkansas,05,121
05123,St. Francis,Arkansas,05,123
05125,Saline,Arkansas,05,125
05127,Scott,Arkansas,05,127
05129,Searcy,Arkansas,05,129
05131,Sebastian,Arkansas,05,131
05133,Sevier,Arkansas,05,133
05135,Sharp,Arkansas,05,135
05137,Stone,Arkansas,05,137
05139,Union,Arkansas,05,139
05141,Van Buren,Arkansas,05,141
05143,Washington,Arkansas,05,143
05145,White,Arkansas,05,145
05147,Woodruff,Arkansas,05,147
05149,Yell,Arkansas,05,149
06001,Alameda,California,06,001
06003,Alpine,California,06,003
06005,Amador,California,06,005
06007,Butte,California,06,007
06009,Calaveras,California,06,009
06011,Colusa,California,06,011
06013,Contra Costa,California,06,013
06015,Del Norte,California,06,015
06017,El Dorado,California,06,017
06019,Fresno,California,06,019
06021,Glenn,California,06,021
06023,Humboldt,California,06,023
06025,Imperial,California,06,025
06027,Inyo,California,06,027
06029,Kern,California,06,029
06031,Kings,California,06,031
06033,Lake,California,06,033
06035,Lassen,California,06,035
06037,Los Angeles,California,06,037
06039,Madera,California,06,039
06041,Marin,California,06,041
06043,Mariposa,California,06,043
06045,Mendocino,California,06,045
06047,Merced,California,06,047
06049,Modoc,California,06,049
06051,Mono,California,06,051
06053,Monterey,California,06,053
06055,Napa,California,06,055
06057,Nevada,California,06,057
06059,Orange,California,06,059
06061,Placer,California,06,061
06063,Plumas,California,06,063
06065,Riverside,California,06,065
06067,Sacramento,California,06,067
06069,San Benito,California,06,069
06071,San Bernardino,California,06,071
06073,San Diego,California,06,073
06075,San Francisco,California,06,075
06077,San Joaquin,California,06,077
06079,San Luis Obispo,California,06,079
06081,San Mateo,California,06,081
06083,Santa Barbara,California,06,083
06085,Santa Clara,California,06,085
06087,Santa Cruz,California,06,087
06089,Shasta,California,06,089
06091,Sierra,California,06,091
06093,Siskiyou,California,06,093
06095,Solano,California,06,095
06097,Sonoma,California,06,097
06099,Stanislaus,California,06,099
06101,Sutter,California,06,101
06103,Tehama,California,06,103
06105,Trinity,California,06,105
06107,Tulare,California,06,107
06109,Tuolumne,California,06,109
06111,Ventura,California,06,111
06113,Yolo,California,06,113
06115,Yuba,California,06,115
08001,Adams,Colorado,08,001
08003,Alamosa,Colorado,08,003
08005,Arapahoe,Colorado,08,005
08007,Archuleta,Colorado,08,007
08009,Baca,Colorado,08,009
08011,Bent,Colorado,08,011
08013,Boulder,Colorado,08,013
08014,Broomfield,Colorado,08,014
08015,Chaffee,Colorado,08,015
08017,Cheyenne,Colorado,08,017
08019,Clear Creek,Colorado,08,019
08021,Conejos,Colorado,08,021
08023,Costilla,Colorado,08,023
08025,Crowley,Colorado,08,025
08027,Custer,Colorado,08,027
08029,Delta,Colorado,08,029
08031,Denver,Colorado,08,031
08033,Dolores,Colorado,08,033
08035,Douglas,Colorado,08,035
08037,Eagle,Colorado,08,037
08039,Elbert,Colorado,08,039
08041,El Paso,Colorado,08,041
08043,Fremont,Colorado,08,043
08045,Garfield,Colorado,08,045
08047,Gilpin,Colorado,08,047
